n,P_approx_2(2.3.n)
848,0.280660
849,0.254417
850,0.288235
851,0.249119
852,0.260563
853,0.262603
854,0.259953
855,0.291228
856,0.242991
857,0.270712
858,0.250583
859,0.249127
860,0.260465
861,0.272938
862,0.256381
863,0.244496
864,0.244213
865,0.243931
866,0.271363
867,0.260669
868,0.275346
869,0.284235
870,0.279310
871,0.311137
872,0.244266
873,0.285223
874,0.281465
875,0.277714
876,0.270548
877,0.278221
878,0.264237
879,0.263936
880,0.284091
881,0.270148
882,0.267574
883,0.243488
884,0.265837
885,0.282486
886,0.259594
887,0.258174
888,0.269144
889,0.281215
890,0.279775
891,0.252525
892,0.285874
893,0.284434
894,0.272931
895,0.283799
896,0.270089
897,0.256410
898,0.285078
899,0.272525
900,0.275556
901,0.256382
902,0.253880
903,0.255814
904,0.267699
905,0.266298
906,0.289183
907,0.242558
908,0.266520
909,0.235424
910,0.256044
911,0.243688
912,0.257675
913,0.277108
914,0.253829
915,0.259016
916,0.251092
917,0.262814
918,0.258170
919,0.264418
920,0.271739
921,0.283388
922,0.262473
923,0.286024
924,0.267316
925,0.282162
926,0.267819
927,0.279396
928,0.270474
929,0.266954
930,0.266667
931,0.252417
932,0.246781
933,0.262594
934,0.255889
935,0.252406
936,0.261752
937,0.247599
938,0.281450
939,0.254526
940,0.265957
941,0.263549
942,0.252654
943,0.264051
944,0.242585
945,0.265608
946,0.265328
947,0.261880
948,0.273207
949,0.252898
950,0.275789
951,0.266036
952,0.259454
953,0.280168
954,0.257862
955,0.261780
956,0.267782
957,0.270637
958,0.259916
959,0.261731
960,0.253125
961,0.250780
962,0.274428
963,0.262721
964,0.254149
965,0.270466
966,0.289855
967,0.251293
968,0.264463
969,0.282766
970,0.269072
971,0.245108
972,0.256173
973,0.280576
974,0.238193
975,0.271795
976,0.247951
977,0.284545
978,0.245399
979,0.276813
980,0.271429
981,0.287462
982,0.264766
983,0.255341
984,0.246951
985,0.247716
986,0.232252
987,0.250253
988,0.267206
989,0.263903
990,0.243434
991,0.266398
992,0.277218
993,0.254783
994,0.260563
995,0.273367
996,0.247992
997,0.273821
998,0.289579
999,0.255255
1000,0.278000
1001,0.274725
1002,0.251497
1003,0.273180
1004,0.255976
1005,0.285572
1006,0.241551
1007,0.250248
1008,0.281746
1009,0.261645
1010,0.259406
1011,0.285856
1012,0.267787
1013,0.266535
1014,0.262327
1015,0.257143
1016,0.266732
1017,0.243854
1018,0.264244
1019,0.256133
1020,0.243137
1021,0.286974
1022,0.260274
1023,0.271750
1024,0.270508
1025,0.262439
1026,0.274854
1027,0.271665
1028,0.285992
1029,0.258503
1030,0.260194
1031,0.255092
1032,0.266473
1033,0.249758
1034,0.271760
1035,0.274396
1036,0.265444
1037,0.252652
1038,0.276493
1039,0.268527
1040,0.272115
1041,0.263208
1042,0.277351
1043,0.271333
1044,0.278736
1045,0.266986
1046,0.245698
1047,0.251194
1048,0.262405
1049,0.275500
1050,0.283810
1051,0.254044
1052,0.280418
1053,0.255461
1054,0.278937
1055,0.273934
1056,0.277462
1057,0.254494
1058,0.264650
1059,0.254958
1060,0.264151
1061,0.266730
1062,0.265537
1063,0.291627
1064,0.238722
1065,0.252582
1066,0.244841
1067,0.257732
1068,0.247191
1069,0.273152
1070,0.265421
1071,0.275444
1072,0.265858
1073,0.255359
1074,0.268156
1075,0.273488
1076,0.250000
1077,0.294336
1078,0.269944
1079,0.283596
1080,0.255556
1081,0.241443
1082,0.282810
1083,0.287165
1084,0.291513
1085,0.275576
1086,0.281768
1087,0.261270
1088,0.279412
1089,0.252525
1090,0.270642
1091,0.247479
1092,0.260073
1093,0.268070
1094,0.267824
1095,0.262100
1096,0.280109
1097,0.273473
1098,0.260474
1099,0.267516
1100,0.266364
1101,0.267030
1102,0.248639
1103,0.261106
1104,0.264493
1105,0.247964
1106,0.277577
1107,0.288166
1108,0.258123
1109,0.288548
1110,0.266667
1111,0.268227
1112,0.234712
1113,0.273136
1114,0.279174
1115,0.278027
1116,0.252688
1117,0.256043
1118,0.271914
1119,0.281501
1120,0.237500
1121,0.258698
1122,0.288770
1123,0.268032
1124,0.266014
1125,0.251556
1126,0.225577
1127,0.286602
1128,0.284574
1129,0.255979
1130,0.260177
1131,0.267905
1132,0.271201
1133,0.270079
1134,0.254850
1135,0.262555
1136,0.265845
1137,0.291117
1138,0.263620
1139,0.245830
1140,0.266667
1141,0.293602
1142,0.257443
1143,0.264217
1144,0.263986
1145,0.269869
1146,0.258290
1147,0.268527
1148,0.253484
1149,0.275892
1150,0.279130
1151,0.275413
1152,0.282118
1153,0.266262
1154,0.253899
1155,0.259740
1156,0.250865
1157,0.277442
1158,0.259931
1159,0.257981
1160,0.267241
1161,0.279931
1162,0.234079
1163,0.276010
1164,0.254296
1165,0.286695
1166,0.279588
1167,0.248500
1168,0.260274
1169,0.262618
1170,0.283761
1171,0.249360
1172,0.257679
1173,0.286445
1174,0.273424
1175,0.247660
1176,0.268707
1177,0.268479
1178,0.259762
1179,0.260390
1180,0.280508
1181,0.260796
1182,0.260575
1183,0.263736
1184,0.250845
1185,0.279325
1186,0.251265
1187,0.279697
1188,0.266835
1189,0.270816
1190,0.278151
1191,0.268682
1192,0.266779
1193,0.264878
1194,0.293132
1195,0.277824
1196,0.256689
1197,0.272348
1198,0.264608
1199,0.261885
1200,0.258333
1201,0.253955
1202,0.258735
1203,0.267664
1204,0.269103
1205,0.260581
1206,0.273632
1207,0.278376
1208,0.269040
1209,0.287014
1210,0.258678
1211,0.284889
1212,0.270627
1213,0.274526
1214,0.271005
1215,0.254321
1216,0.273026
1217,0.277732
1218,0.252053
1219,0.261690
1220,0.266393
1221,0.269451
1222,0.251227
1223,0.250204
1224,0.287582
1225,0.253878
1226,0.296900
1227,0.252649
1228,0.291531
1229,0.269325
1230,0.252033
1231,0.258327
1232,0.267045
1233,0.278994
1234,0.277958
1235,0.272065
1236,0.286408
1237,0.249798
1238,0.259289
1239,0.276836
1240,0.274194
1241,0.246575
1242,0.266506
1243,0.278359
1244,0.259646
1245,0.263454
1246,0.260032
1247,0.262229
1248,0.301282
1249,0.257806
1250,0.265600
1251,0.286970
1252,0.270767
1253,0.281724
1254,0.252791
1255,0.263745
1256,0.266720
1257,0.235481
1258,0.262321
1259,0.268467
1260,0.286508
1261,0.264869
1262,0.271791
1263,0.251781
1264,0.270570
1265,0.268775
1266,0.256714
1267,0.259669
1268,0.271293
1269,0.255319
1270,0.244094
1271,0.261998
1272,0.282233
1273,0.252160
1274,0.280220
1275,0.278431
1276,0.252351
1277,0.247455
1278,0.272300
1279,0.250195
1280,0.267969
1281,0.249024
1282,0.273791
1283,0.279813
1284,0.250779
1285,0.263813
1286,0.270607
1287,0.265734
1288,0.277950
1289,0.249806
1290,0.277519
1291,0.243222
1292,0.246904
1293,0.254447
1294,0.285162
1295,0.241699
1296,0.278549
1297,0.267540
1298,0.260401
1299,0.273287
1300,0.264615
1301,0.267487
1302,0.272657
1303,0.263239
1304,0.262270
1305,0.267433
1306,0.281776
1307,0.282326
1308,0.265291
1309,0.277311
1310,0.267176
1311,0.252479
1312,0.240091
1313,0.273420
1314,0.271689
1315,0.279848
1316,0.248480
1317,0.272589
1318,0.259484
1319,0.267627
1320,0.278030
1321,0.271764
1322,0.270802
1323,0.253968
1324,0.257553
1325,0.255849
1326,0.268477
1327,0.274303
1328,0.286898
1329,0.264861
1330,0.287970
1331,0.252442
1332,0.271021
1333,0.282071
1334,0.282609
1335,0.274906
1336,0.268713
1337,0.269260
1338,0.277280
1339,0.262883
1340,0.261194
1341,0.254288
1342,0.256334
1343,0.263589
1344,0.281994
1345,0.263197
1346,0.269688
1347,0.283593
1348,0.283383
1349,0.254262
1350,0.268889
1351,0.272391
1352,0.256657
1353,0.266075
1354,0.265879
1355,0.288561
1356,0.258112
1357,0.249079
1358,0.273196
1359,0.263429
1360,0.251471
1361,0.255694
1362,0.266520
1363,0.256053
1364,0.282991
1365,0.271795
1366,0.294290
1367,0.283833
1368,0.255117
1369,0.240321
1370,0.249635
1371,0.266229
1372,0.287172
1373,0.262200
1374,0.281659
1375,0.273455
1376,0.258721
